排名	排名变化	品牌	品牌价值（亿元人民币）	Chg	母公司	品牌价值占母公司市值比例	trade	city	
175	-31	清华同方	50	0	清华同方	18%	数码	北京	
175	3	光明	50	0.43	光明	36%	食品饮料	上海	
175	NEW	卓越	50	-	卓越	8%	房地产	上海	
175	-18	小红书	50	0.11	行吟	25%	电子商务和零售	上海	
183	-5	富力	45	0.29	富力	11%	房地产	广东广州	
183	NEW	国信证券	45	-	国信证券	4%	金融	广东深圳	
183	-15	长安	45	0.13	长安	13%	汽车	重庆	
183	9	美丽联合	45	0.5	美丽联合	16%	电子商务和零售	浙江杭州	
183	9	老板	45	0.5	老板	17%	家用电器	浙江杭州	
183	-15	锦江	45	0.13	锦江	18%	酒店	上海	
183	-15	作业帮	45	0.13	作业帮	23%	教育	北京	
183	NEW	猿辅导	45	-	北京贞观雨科技	23%	教育	北京	
191	NEW	旭辉	40	-	旭辉	11%	房地产	上海	
191	-23	金科	40	0	金科	12%	房地产	重庆	
191	-34	众安保险	40	-0.11	众安保险	14%	金融	上海	
191	-13	阳光城	40	0.14	阳光城	15%	房地产	福建福州	
191	-13	丽珠	40	0.14	丽珠	16%	医疗健康	广东珠海	
191	-13	吉祥航空	40	0.14	吉祥航空	17%	航空	上海	
191	-23	斗鱼	40	0	斗鱼	20%	影视传媒	湖北武汉	
191	NEW	每日优鲜	40	-	每日优鲜	20%	电子商务和零售	北京	
191	-23	喜马拉雅	40	0	喜马拉雅	20%	影视传媒	上海	
191	-13	燕京	40	0.14	燕京	21%	酒类	北京	
191	-13	农夫	40	0.14	农夫	22%	食品饮料	浙江杭州	
191	1	修正	40	0.33	修正	15%	医疗健康	吉林通化	
191	NEW	新乳业	40	-	新希望	4%	食品饮料	四川成都	
